Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 22:06:58.849,14.8,22.2
2025-03-15 22:06:58.950,25.9,22.2
2025-03-15 22:06:59.051,27.0,22.2
2025-03-15 22:06:59.152,20.0,22.2
2025-03-15 22:06:59.252,11.5,22.2
2025-03-15 22:06:59.353,7.7,22.2
2025-03-15 22:06:59.454,11.0,22.2
2025-03-15 22:06:59.555,19.8,22.2
2025-03-15 22:06:59.656,21.6,22.2
2025-03-15 22:06:59.756,13.9,22.2
2025-03-15 22:06:59.857,8.3,22.2
2025-03-15 22:06:59.957,7.7,22.2
2025-03-15 22:07:00.058,11.0,22.2
2025-03-15 22:07:00.159,24.6,22.2
2025-03-15 22:07:00.259,27.5,22.2
2025-03-15 22:07:00.360,10.1,22.2
2025-03-15 22:07:00.461,7.0,22.2
2025-03-15 22:07:00.561,4.4,22.2
2025-03-15 22:07:00.662,10.3,22.2
2025-03-15 22:07:00.762,26.1,22.2
2025-03-15 22:07:00.863,21.9,22.2
2025-03-15 22:07:00.964,19.3,22.2
2025-03-15 22:07:01.064,20.7,22.2
2025-03-15 22:07:01.165,27.9,22.3
2025-03-15 22:07:01.266,22.4,22.3
2025-03-15 22:07:01.366,10.2,22.3
2025-03-15 22:07:01.467,8.3,22.3
2025-03-15 22:07:01.568,8.9,22.3
2025-03-15 22:07:01.668,10.1,22.2
2025-03-15 22:07:01.769,16.5,22.2
2025-03-15 22:07:01.870,15.9,22.2
2025-03-15 22:07:01.971,15.3,22.3
2025-03-15 22:07:02.071,21.9,22.2
2025-03-15 22:07:02.172,12.5,22.2
2025-03-15 22:07:02.272,14.6,22.2
2025-03-15 22:07:02.372,9.6,22.3
2025-03-15 22:07:02.473,12.6,22.3
2025-03-15 22:07:02.573,12.8,22.2
2025-03-15 22:07:02.674,16.5,22.2
2025-03-15 22:07:02.774,17.4,22.2
2025-03-15 22:07:02.875,13.2,22.2
2025-03-15 22:07:02.975,15.3,22.2
2025-03-15 22:07:03.076,23.0,22.2
2025-03-15 22:07:03.176,24.7,22.2
2025-03-15 22:07:03.277,18.0,22.2
2025-03-15 22:07:03.377,14.6,22.2
2025-03-15 22:07:03.478,10.7,22.2
2025-03-15 22:07:03.578,14.9,22.2
2025-03-15 22:07:03.679,18.0,22.2
2025-03-15 22:07:03.779,16.5,22.2
2025-03-15 22:07:03.880,13.7,22.2
2025-03-15 22:07:03.980,17.5,22.2
2025-03-15 22:07:04.081,9.0,22.2
2025-03-15 22:07:04.181,8.3,22.2
2025-03-15 22:07:04.281,9.0,22.2
2025-03-15 22:07:04.382,8.3,22.2
2025-03-15 22:07:04.483,11.3,22.2
2025-03-15 22:07:04.583,17.8,22.2
2025-03-15 22:07:04.684,15.5,22.2
2025-03-15 22:07:04.784,13.4,22.2
2025-03-15 22:07:04.885,6.4,22.2
2025-03-15 22:07:04.986,22.6,22.2
2025-03-15 22:07:05.086,27.8,22.2
2025-03-15 22:07:05.187,15.6,22.2
2025-03-15 22:07:05.288,7.0,22.2
2025-03-15 22:07:05.389,7.1,22.2
2025-03-15 22:07:05.489,23.8,22.2
2025-03-15 22:07:05.590,23.3,22.2
2025-03-15 22:07:05.691,22.2,22.2
2025-03-15 22:07:05.792,7.8,22.2
2025-03-15 22:07:05.893,5.7,22.2
2025-03-15 22:07:05.993,5.7,22.2
2025-03-15 22:07:06.094,25.9,22.2
2025-03-15 22:07:06.195,30.9,22.2
2025-03-15 22:07:06.295,15.0,22.2
2025-03-15 22:07:06.396,5.8,22.2
2025-03-15 22:07:06.497,9.1,22.2
2025-03-15 22:07:06.597,11.0,22.2
2025-03-15 22:07:06.698,27.4,22.2
2025-03-15 22:07:06.799,24.4,22.2
2025-03-15 22:07:06.899,8.9,22.2
2025-03-15 22:07:07.000,7.1,22.2
2025-03-15 22:07:07.101,7.8,22.2
2025-03-15 22:07:07.202,4.3,22.2
2025-03-15 22:07:07.302,14.7,22.2
2025-03-15 22:07:07.403,20.6,22.2
2025-03-15 22:07:07.504,26.7,22.2
2025-03-15 22:07:07.604,22.3,22.2
2025-03-15 22:07:07.705,11.4,22.2
2025-03-15 22:07:07.806,12.8,22.2
2025-03-15 22:07:07.906,22.2,22.2
2025-03-15 22:07:08.007,27.6,22.2
2025-03-15 22:07:08.108,11.5,22.2
2025-03-15 22:07:08.209,7.7,22.2
2025-03-15 22:07:08.309,7.1,22.2
2025-03-15 22:07:08.410,22.3,22.2
2025-03-15 22:07:08.511,29.6,22.2
2025-03-15 22:07:08.611,21.9,22.2
2025-03-15 22:07:08.712,23.7,22.2
2025-03-15 22:07:08.813,8.4,22.2
2025-03-15 22:07:08.913,5.8,22.2
2025-03-15 22:07:09.014,15.6,22.2
2025-03-15 22:07:09.114,27.1,22.2
2025-03-15 22:07:09.215,22.6,22.2
2025-03-15 22:07:09.316,7.0,22.2
2025-03-15 22:07:09.417,6.5,22.2
2025-03-15 22:07:09.518,7.1,22.2
2025-03-15 22:07:09.618,19.9,22.2
2025-03-15 22:07:09.719,25.1,22.2
2025-03-15 22:07:09.820,25.1,22.2
2025-03-15 22:07:09.920,23.9,22.2
2025-03-15 22:07:10.020,29.9,22.2
2025-03-15 22:07:10.121,23.3,22.2
2025-03-15 22:07:10.221,16.0,22.2
2025-03-15 22:07:10.322,16.4,22.2
2025-03-15 22:07:10.422,9.6,22.2
2025-03-15 22:07:10.522,11.4,22.2
2025-03-15 22:07:10.623,11.6,22.2
2025-03-15 22:07:10.723,12.5,22.2
2025-03-15 22:07:10.824,17.2,22.2
2025-03-15 22:07:10.924,18.2,22.2
2025-03-15 22:07:11.024,28.7,22.2
2025-03-15 22:07:11.125,18.4,22.2
2025-03-15 22:07:11.225,14.4,22.2
2025-03-15 22:07:11.326,10.1,22.2
2025-03-15 22:07:11.426,9.6,22.2
2025-03-15 22:07:11.526,10.7,22.2
2025-03-15 22:07:11.627,10.4,22.2
2025-03-15 22:07:11.727,9.7,22.2
2025-03-15 22:07:11.828,13.7,22.2
2025-03-15 22:07:11.928,15.8,22.2
2025-03-15 22:07:12.029,22.0,22.2
2025-03-15 22:07:12.129,21.4,22.2
2025-03-15 22:07:12.229,10.2,22.2
2025-03-15 22:07:12.330,9.7,22.2
2025-03-15 22:07:12.430,9.6,22.2
2025-03-15 22:07:12.531,10.3,22.2
2025-03-15 22:07:12.631,10.2,22.2
