Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 22:28:41.190,19.2,22.3
2025-03-15 22:28:41.291,22.7,22.3
2025-03-15 22:28:41.391,19.9,22.3
2025-03-15 22:28:41.492,11.6,22.3
2025-03-15 22:28:41.593,12.8,22.3
2025-03-15 22:28:41.693,25.0,22.3
2025-03-15 22:28:41.794,32.1,22.3
2025-03-15 22:28:41.895,12.7,22.3
2025-03-15 22:28:41.996,6.4,22.3
2025-03-15 22:28:42.096,6.5,22.3
2025-03-15 22:28:42.197,7.8,22.3
2025-03-15 22:28:42.297,22.0,22.3
2025-03-15 22:28:42.398,25.1,22.3
2025-03-15 22:28:42.499,9.8,22.3
2025-03-15 22:28:42.600,10.6,22.3
2025-03-15 22:28:42.700,8.5,22.3
2025-03-15 22:28:42.801,16.0,22.3
2025-03-15 22:28:42.902,31.4,22.3
2025-03-15 22:28:43.003,14.1,22.3
2025-03-15 22:28:43.103,8.4,22.3
2025-03-15 22:28:43.204,9.1,22.3
2025-03-15 22:28:43.304,9.0,22.3
2025-03-15 22:28:43.405,10.2,22.3
2025-03-15 22:28:43.506,10.9,22.4
2025-03-15 22:28:43.606,10.9,22.4
2025-03-15 22:28:43.707,9.0,22.3
2025-03-15 22:28:43.808,13.3,22.4
2025-03-15 22:28:43.908,16.6,22.4
2025-03-15 22:28:44.009,16.9,22.4
2025-03-15 22:28:44.109,24.0,22.4
2025-03-15 22:28:44.210,22.8,22.4
2025-03-15 22:28:44.311,9.7,22.4
2025-03-15 22:28:44.411,10.8,22.4
2025-03-15 22:28:44.512,8.4,22.4
2025-03-15 22:28:44.612,13.8,22.4
2025-03-15 22:28:44.713,16.9,22.3
2025-03-15 22:28:44.813,17.5,22.3
2025-03-15 22:28:44.914,20.0,22.3
2025-03-15 22:28:45.014,17.0,22.3
2025-03-15 22:28:45.115,20.5,22.3
2025-03-15 22:28:45.215,21.9,22.3
2025-03-15 22:28:45.316,10.2,22.3
2025-03-15 22:28:45.416,9.0,22.3
2025-03-15 22:28:45.517,10.3,22.3
2025-03-15 22:28:45.618,13.8,22.3
2025-03-15 22:28:45.718,11.9,22.3
2025-03-15 22:28:45.818,14.8,22.3
2025-03-15 22:28:45.919,19.6,22.3
2025-03-15 22:28:46.019,20.7,22.4
2025-03-15 22:28:46.120,22.5,22.4
2025-03-15 22:28:46.220,9.0,22.4
2025-03-15 22:28:46.321,12.2,22.4
2025-03-15 22:28:46.421,8.8,22.4
2025-03-15 22:28:46.522,12.7,22.4
2025-03-15 22:28:46.622,22.0,22.4
2025-03-15 22:28:46.723,20.1,22.4
2025-03-15 22:28:46.823,26.8,22.4
2025-03-15 22:28:46.924,22.9,22.4
2025-03-15 22:28:47.024,20.0,22.4
2025-03-15 22:28:47.125,10.3,22.4
2025-03-15 22:28:47.225,12.7,22.4
2025-03-15 22:28:47.325,14.5,22.4
2025-03-15 22:28:47.426,16.4,22.4
2025-03-15 22:28:47.527,26.1,22.4
2025-03-15 22:28:47.627,20.5,22.4
2025-03-15 22:28:47.727,25.7,22.4
2025-03-15 22:28:47.828,23.5,22.4
2025-03-15 22:28:47.928,21.1,22.4
2025-03-15 22:28:48.029,9.0,22.4
2025-03-15 22:28:48.130,17.1,22.4
2025-03-15 22:28:48.230,18.2,22.4
2025-03-15 22:28:48.331,11.7,22.4
2025-03-15 22:28:48.432,15.1,22.4
2025-03-15 22:28:48.532,24.6,22.4
2025-03-15 22:28:48.633,19.5,22.4
2025-03-15 22:28:48.733,14.0,22.4
2025-03-15 22:28:48.834,9.7,22.4
2025-03-15 22:28:48.935,11.1,22.4
2025-03-15 22:28:49.036,16.8,22.4
2025-03-15 22:28:49.136,25.6,22.4
2025-03-15 22:28:49.237,29.7,22.4
2025-03-15 22:28:49.338,13.8,22.4
2025-03-15 22:28:49.438,7.1,22.4
2025-03-15 22:28:49.539,13.8,22.4
2025-03-15 22:28:49.640,22.3,22.4
2025-03-15 22:28:49.740,30.6,22.4
2025-03-15 22:28:49.841,23.7,22.4
2025-03-15 22:28:49.942,25.3,22.4
2025-03-15 22:28:50.042,9.9,22.4
2025-03-15 22:28:50.143,12.2,22.4
2025-03-15 22:28:50.244,10.3,22.4
2025-03-15 22:28:50.344,21.0,22.4
2025-03-15 22:28:50.445,22.9,22.4
2025-03-15 22:28:50.546,12.6,22.4
2025-03-15 22:28:50.647,10.4,22.4
2025-03-15 22:28:50.748,28.9,22.4
2025-03-15 22:28:50.848,33.3,22.4
2025-03-15 22:28:50.949,26.0,22.4
2025-03-15 22:28:51.050,8.5,22.4
2025-03-15 22:28:51.151,9.8,22.4
2025-03-15 22:28:51.252,9.0,22.4
2025-03-15 22:28:51.353,19.3,22.4
