Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-13 18:49:22.303,15.3,29.2
2025-03-13 18:49:22.404,26.5,29.2
2025-03-13 18:49:22.504,26.9,29.2
2025-03-13 18:49:22.604,16.9,29.2
2025-03-13 18:49:22.704,13.5,29.2
2025-03-13 18:49:22.804,16.4,29.2
2025-03-13 18:49:22.905,31.4,29.2
2025-03-13 18:49:23.005,27.1,29.2
2025-03-13 18:49:23.105,22.1,29.2
2025-03-13 18:49:23.205,28.9,29.2
2025-03-13 18:49:23.305,12.9,29.2
2025-03-13 18:49:23.405,16.1,29.2
2025-03-13 18:49:23.505,17.9,29.3
2025-03-13 18:49:23.605,25.0,29.3
2025-03-13 18:49:23.706,23.6,29.3
2025-03-13 18:49:23.806,23.7,29.3
2025-03-13 18:49:23.906,15.3,29.3
2025-03-13 18:49:24.006,16.3,29.3
2025-03-13 18:49:24.106,13.5,29.3
2025-03-13 18:49:24.206,14.6,29.3
2025-03-13 18:49:24.306,18.1,29.3
2025-03-13 18:49:24.407,17.7,29.3
2025-03-13 18:49:24.507,19.2,29.3
2025-03-13 18:49:24.607,48.7,29.2
2025-03-13 18:49:24.707,14.2,29.2
2025-03-13 18:49:24.807,27.1,29.2
2025-03-13 18:49:24.907,30.5,29.2
2025-03-13 18:49:25.007,18.6,29.2
2025-03-13 18:49:25.107,16.6,29.2
2025-03-13 18:49:25.208,17.6,29.2
2025-03-13 18:49:25.308,19.9,29.2
2025-03-13 18:49:25.408,25.2,29.2
2025-03-13 18:49:25.508,30.3,29.2
2025-03-13 18:49:25.608,20.4,29.2
2025-03-13 18:49:25.708,15.9,29.2
2025-03-13 18:49:25.808,19.5,29.2
2025-03-13 18:49:25.908,20.8,29.2
2025-03-13 18:49:26.009,20.8,29.2
2025-03-13 18:49:26.109,18.5,29.2
2025-03-13 18:49:26.209,26.8,29.2
2025-03-13 18:49:26.309,31.6,29.3
2025-03-13 18:49:26.409,30.3,29.2
2025-03-13 18:49:26.509,16.4,29.3
2025-03-13 18:49:26.609,17.8,29.3
2025-03-13 18:49:26.709,17.7,29.3
2025-03-13 18:49:26.809,15.8,29.3
2025-03-13 18:49:26.909,21.7,29.3
2025-03-13 18:49:27.010,26.5,29.3
2025-03-13 18:49:27.110,18.8,29.3
2025-03-13 18:49:27.210,15.8,29.3
2025-03-13 18:49:27.310,18.7,29.3
2025-03-13 18:49:27.410,17.7,29.3
2025-03-13 18:49:27.511,20.9,29.3
2025-03-13 18:49:27.611,19.5,29.3
2025-03-13 18:49:27.711,19.7,29.3
2025-03-13 18:49:27.811,17.0,29.3
2025-03-13 18:49:27.911,20.4,29.3
2025-03-13 18:49:28.011,14.7,29.3
2025-03-13 18:49:28.111,15.5,29.3
2025-03-13 18:49:28.211,17.4,29.3
2025-03-13 18:49:28.312,19.9,29.3
2025-03-13 18:49:28.412,15.5,29.3
2025-03-13 18:49:28.512,20.6,29.3
2025-03-13 18:49:28.612,22.8,29.3
2025-03-13 18:49:28.712,27.9,29.3
2025-03-13 18:49:28.813,18.1,29.3
2025-03-13 18:49:28.913,17.2,29.3
2025-03-13 18:49:29.013,22.4,29.3
2025-03-13 18:49:29.113,27.9,29.3
2025-03-13 18:49:29.213,27.8,29.3
2025-03-13 18:49:29.313,32.0,29.3
2025-03-13 18:49:29.413,29.0,29.3
2025-03-13 18:49:29.513,19.7,29.3
2025-03-13 18:49:29.614,17.6,29.3
2025-03-13 18:49:29.714,15.8,29.3
2025-03-13 18:49:29.814,20.3,29.3
2025-03-13 18:49:29.914,18.2,29.3
2025-03-13 18:49:30.014,25.2,29.3
2025-03-13 18:49:30.114,30.9,29.3
2025-03-13 18:49:30.214,29.3,29.3
2025-03-13 18:49:30.314,27.9,29.3
2025-03-13 18:49:30.415,17.7,29.3
2025-03-13 18:49:30.515,17.3,29.3
2025-03-13 18:49:30.615,20.8,29.3
