Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-13 18:58:31.622,22.7,29.1
2025-03-13 18:58:31.721,18.1,29.1
2025-03-13 18:58:31.821,16.2,28.9
2025-03-13 18:58:31.921,19.1,28.9
2025-03-13 18:58:32.021,20.0,28.9
2025-03-13 18:58:32.122,31.0,28.9
2025-03-13 18:58:32.222,15.3,28.9
2025-03-13 18:58:32.322,17.9,28.9
2025-03-13 18:58:32.422,17.4,28.9
2025-03-13 18:58:32.523,20.1,28.9
2025-03-13 18:58:32.622,25.6,28.9
2025-03-13 18:58:32.722,16.3,28.9
2025-03-13 18:58:32.823,27.0,29.0
2025-03-13 18:58:32.923,30.9,29.0
2025-03-13 18:58:33.023,18.8,29.0
2025-03-13 18:58:33.123,16.8,29.0
2025-03-13 18:58:33.223,16.4,29.0
2025-03-13 18:58:33.323,19.6,29.0
2025-03-13 18:58:33.424,19.3,29.0
2025-03-13 18:58:33.523,22.8,29.0
2025-03-13 18:58:33.624,30.2,29.0
2025-03-13 18:58:33.724,29.3,29.0
2025-03-13 18:58:33.824,27.7,29.0
2025-03-13 18:58:33.924,19.3,29.0
2025-03-13 18:58:34.024,28.1,29.0
2025-03-13 18:58:34.124,24.0,29.0
2025-03-13 18:58:34.224,21.9,29.0
2025-03-13 18:58:34.324,20.8,29.0
2025-03-13 18:58:34.425,30.7,29.0
2025-03-13 18:58:34.524,23.7,29.0
2025-03-13 18:58:34.625,27.6,29.0
2025-03-13 18:58:34.725,33.1,29.0
2025-03-13 18:58:34.825,15.5,29.0
2025-03-13 18:58:34.926,18.2,29.0
2025-03-13 18:58:35.026,14.8,29.0
2025-03-13 18:58:35.126,18.9,29.0
2025-03-13 18:58:35.225,22.0,29.0
2025-03-13 18:58:35.326,29.7,29.0
2025-03-13 18:58:35.426,33.0,29.0
2025-03-13 18:58:35.526,21.6,29.0
2025-03-13 18:58:35.626,14.6,29.0
2025-03-13 18:58:35.726,19.9,29.0
2025-03-13 18:58:35.827,17.9,29.0
2025-03-13 18:58:35.927,23.7,29.0
2025-03-13 18:58:36.027,28.4,29.0
2025-03-13 18:58:36.127,27.1,29.0
2025-03-13 18:58:36.227,18.2,29.0
2025-03-13 18:58:36.327,18.4,29.0
2025-03-13 18:58:36.427,17.0,29.0
2025-03-13 18:58:36.528,20.7,29.0
2025-03-13 18:58:36.627,15.6,29.0
2025-03-13 18:58:36.727,19.9,29.0
2025-03-13 18:58:36.827,28.9,29.0
2025-03-13 18:58:36.928,28.8,29.0
2025-03-13 18:58:37.028,17.4,29.0
2025-03-13 18:58:37.128,14.0,29.0
2025-03-13 18:58:37.228,17.1,29.0
2025-03-13 18:58:37.329,16.9,29.0
2025-03-13 18:58:37.428,19.5,29.0
2025-03-13 18:58:37.528,23.4,29.0
2025-03-13 18:58:37.629,26.5,29.0
2025-03-13 18:58:37.729,29.6,29.0
2025-03-13 18:58:37.829,30.8,29.0
2025-03-13 18:58:37.929,14.0,29.0
2025-03-13 18:58:38.029,17.0,29.0
2025-03-13 18:58:38.130,16.0,29.0
2025-03-13 18:58:38.229,20.4,29.0
2025-03-13 18:58:38.329,21.9,29.0
2025-03-13 18:58:38.430,21.1,29.0
2025-03-13 18:58:38.530,27.1,29.0
2025-03-13 18:58:38.630,26.7,29.0
2025-03-13 18:58:38.730,18.8,29.0
2025-03-13 18:58:38.830,16.9,29.0
2025-03-13 18:58:38.931,15.8,29.0
2025-03-13 18:58:39.030,18.5,29.0
2025-03-13 18:58:39.130,17.8,29.0
2025-03-13 18:58:39.231,25.3,29.0
2025-03-13 18:58:39.331,30.1,29.0
2025-03-13 18:58:39.431,30.3,29.0
2025-03-13 18:58:39.531,29.7,29.0
2025-03-13 18:58:39.631,15.3,29.0
2025-03-13 18:58:39.732,17.0,29.0
2025-03-13 18:58:39.832,15.1,29.0
2025-03-13 18:58:39.932,27.2,29.0
2025-03-13 18:58:40.032,29.0,29.0
2025-03-13 18:58:40.132,25.0,29.0
2025-03-13 18:58:40.232,30.7,29.0
2025-03-13 18:58:40.332,23.1,29.0
2025-03-13 18:58:40.432,15.5,29.0
2025-03-13 18:58:40.532,17.0,29.0
2025-03-13 18:58:40.632,15.5,29.0
2025-03-13 18:58:40.733,21.8,29.0
2025-03-13 18:58:40.833,26.4,29.0
2025-03-13 18:58:40.933,33.1,29.0
2025-03-13 18:58:41.033,37.1,29.0
2025-03-13 18:58:41.133,23.2,29.0
2025-03-13 18:58:41.233,15.3,29.0
2025-03-13 18:58:41.333,16.6,29.0
2025-03-13 18:58:41.434,22.5,29.0
