Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 21:46:42.650,16.9,22.4
2025-03-15 21:46:42.751,19.8,22.4
2025-03-15 21:46:42.852,10.4,22.4
2025-03-15 21:46:42.953,7.2,22.4
2025-03-15 21:46:43.053,6.8,22.4
2025-03-15 21:46:43.154,9.9,22.4
2025-03-15 21:46:43.254,15.9,22.4
2025-03-15 21:46:43.355,19.6,22.4
2025-03-15 21:46:43.456,26.6,22.4
2025-03-15 21:46:43.557,15.1,22.4
2025-03-15 21:46:43.657,7.7,22.4
2025-03-15 21:46:43.758,9.7,22.4
2025-03-15 21:46:43.858,14.8,22.4
2025-03-15 21:46:43.959,18.2,22.4
2025-03-15 21:46:44.060,22.5,22.4
2025-03-15 21:46:44.161,7.8,22.4
2025-03-15 21:46:44.261,12.7,22.4
2025-03-15 21:46:44.362,12.8,22.4
2025-03-15 21:46:44.463,19.0,22.4
2025-03-15 21:46:44.563,26.8,22.4
2025-03-15 21:46:44.664,21.4,22.4
2025-03-15 21:46:44.765,12.9,22.4
2025-03-15 21:46:44.866,7.7,22.4
2025-03-15 21:46:44.966,10.3,22.4
2025-03-15 21:46:45.067,24.4,22.4
2025-03-15 21:46:45.167,31.9,22.4
2025-03-15 21:46:45.268,26.6,22.4
2025-03-15 21:46:45.369,12.6,22.4
2025-03-15 21:46:45.469,7.1,22.4
2025-03-15 21:46:45.570,8.5,22.4
2025-03-15 21:46:45.671,7.1,22.4
2025-03-15 21:46:45.771,15.6,22.4
2025-03-15 21:46:45.872,24.1,22.4
2025-03-15 21:46:45.972,10.9,22.4
2025-03-15 21:46:46.073,10.4,22.4
2025-03-15 21:46:46.174,13.3,22.4
2025-03-15 21:46:46.274,27.8,22.4
2025-03-15 21:46:46.375,24.6,22.4
2025-03-15 21:46:46.476,23.7,22.4
2025-03-15 21:46:46.576,18.4,22.4
2025-03-15 21:46:46.677,7.0,22.4
2025-03-15 21:46:46.778,9.0,22.4
2025-03-15 21:46:46.879,12.1,22.4
2025-03-15 21:46:46.979,22.0,22.4
2025-03-15 21:46:47.080,30.1,22.4
2025-03-15 21:46:47.181,24.3,22.4
2025-03-15 21:46:47.281,7.7,22.4
2025-03-15 21:46:47.382,12.9,22.4
2025-03-15 21:46:47.483,18.6,22.4
2025-03-15 21:46:47.584,24.3,22.4
2025-03-15 21:46:47.684,23.9,22.4
2025-03-15 21:46:47.785,10.4,22.4
2025-03-15 21:46:47.886,7.6,22.4
2025-03-15 21:46:47.987,7.2,22.3
2025-03-15 21:46:48.087,4.9,22.3
2025-03-15 21:46:48.188,15.1,22.3
2025-03-15 21:46:48.289,18.5,22.3
2025-03-15 21:46:48.390,28.6,22.3
2025-03-15 21:46:48.490,8.9,22.3
2025-03-15 21:46:48.591,7.1,22.3
2025-03-15 21:46:48.692,6.4,22.3
2025-03-15 21:46:48.792,13.2,22.3
2025-03-15 21:46:48.893,19.4,22.3
2025-03-15 21:46:48.994,24.4,22.3
2025-03-15 21:46:49.095,28.5,22.3
2025-03-15 21:46:49.195,19.4,22.3
2025-03-15 21:46:49.296,9.0,22.3
2025-03-15 21:46:49.397,15.6,22.3
2025-03-15 21:46:49.497,26.0,22.3
2025-03-15 21:46:49.598,31.4,22.3
2025-03-15 21:46:49.699,22.0,22.3
2025-03-15 21:46:49.799,11.7,22.3
2025-03-15 21:46:49.900,6.2,22.3
2025-03-15 21:46:50.000,4.3,22.3
2025-03-15 21:46:50.101,8.3,22.3
2025-03-15 21:46:50.202,27.1,22.3
2025-03-15 21:46:50.302,22.5,22.3
2025-03-15 21:46:50.403,7.7,22.3
2025-03-15 21:46:50.504,5.8,22.3
2025-03-15 21:46:50.605,9.5,22.3
2025-03-15 21:46:50.705,26.7,22.3
2025-03-15 21:46:50.805,33.5,22.3
2025-03-15 21:46:50.906,19.0,22.3
2025-03-15 21:46:51.007,12.8,22.3
2025-03-15 21:46:51.108,7.7,22.3
2025-03-15 21:46:51.208,5.8,22.3
2025-03-15 21:46:51.309,10.8,22.3
2025-03-15 21:46:51.409,29.3,22.3
2025-03-15 21:46:51.510,13.3,22.3
2025-03-15 21:46:51.611,12.7,22.3
2025-03-15 21:46:51.712,11.6,22.3
2025-03-15 21:46:51.812,8.5,22.3
2025-03-15 21:46:51.913,13.6,22.3
2025-03-15 21:46:52.014,24.3,22.3
2025-03-15 21:46:52.114,28.3,22.3
2025-03-15 21:46:52.215,17.7,22.3
2025-03-15 21:46:52.315,6.4,22.3
2025-03-15 21:46:52.416,10.4,22.3
2025-03-15 21:46:52.517,10.2,22.4
2025-03-15 21:46:52.617,26.4,22.3
2025-03-15 21:46:52.718,30.2,22.3
2025-03-15 21:46:52.818,27.4,22.3
2025-03-15 21:46:52.919,7.7,22.3
2025-03-15 21:46:53.020,6.4,22.3
2025-03-15 21:46:53.121,9.0,22.3
2025-03-15 21:46:53.221,19.1,22.3
2025-03-15 21:46:53.322,25.6,22.3
2025-03-15 21:46:53.423,26.3,22.3
2025-03-15 21:46:53.523,23.2,22.3
2025-03-15 21:46:53.624,7.1,22.3
2025-03-15 21:46:53.725,5.8,22.3
2025-03-15 21:46:53.826,8.5,22.3
2025-03-15 21:46:53.926,27.4,22.3
2025-03-15 21:46:54.027,23.1,22.3
2025-03-15 21:46:54.127,17.0,22.3
2025-03-15 21:46:54.228,13.7,22.3
2025-03-15 21:46:54.329,11.6,22.3
2025-03-15 21:46:54.430,11.6,22.3
2025-03-15 21:46:54.530,21.1,22.4
2025-03-15 21:46:54.631,25.6,22.3
2025-03-15 21:46:54.732,11.0,22.4
2025-03-15 21:46:54.832,9.0,22.3
2025-03-15 21:46:54.933,8.5,22.3
2025-03-15 21:46:55.034,10.9,22.3
2025-03-15 21:46:55.134,25.1,22.3
2025-03-15 21:46:55.235,27.5,22.3
2025-03-15 21:46:55.335,7.2,22.3
2025-03-15 21:46:55.436,6.4,22.3
2025-03-15 21:46:55.537,6.5,22.4
2025-03-15 21:46:55.637,16.1,22.4
2025-03-15 21:46:55.738,20.7,22.3
2025-03-15 21:46:55.839,24.4,22.4
2025-03-15 21:46:55.939,18.1,22.4
2025-03-15 21:46:56.040,6.4,22.4
2025-03-15 21:46:56.141,9.8,22.4
2025-03-15 21:46:56.242,13.9,22.4
2025-03-15 21:46:56.342,18.7,22.4
2025-03-15 21:46:56.443,30.3,22.4
2025-03-15 21:46:56.544,26.7,22.3
2025-03-15 21:46:56.645,18.0,22.3
2025-03-15 21:46:56.745,7.0,22.4
2025-03-15 21:46:56.846,9.7,22.4
2025-03-15 21:46:56.947,12.6,22.4
2025-03-15 21:46:57.048,24.0,22.4
2025-03-15 21:46:57.148,23.4,22.4
2025-03-15 21:46:57.249,13.2,22.4
2025-03-15 21:46:57.350,8.5,22.4
2025-03-15 21:46:57.450,12.0,22.4
2025-03-15 21:46:57.551,12.7,22.4
2025-03-15 21:46:57.652,26.4,22.4
2025-03-15 21:46:57.752,29.7,22.4
2025-03-15 21:46:57.852,21.6,22.4
2025-03-15 21:46:57.953,7.7,22.4
2025-03-15 21:46:58.054,5.8,22.4
2025-03-15 21:46:58.154,8.4,22.3
2025-03-15 21:46:58.254,21.7,22.3
2025-03-15 21:46:58.355,27.2,22.3
2025-03-15 21:46:58.456,23.3,22.3
2025-03-15 21:46:58.557,13.1,22.3
2025-03-15 21:46:58.657,7.8,22.3
2025-03-15 21:46:58.757,22.3,22.3
2025-03-15 21:46:58.858,24.4,22.3
2025-03-15 21:46:58.958,28.6,22.3
2025-03-15 21:46:59.059,25.3,22.3
2025-03-15 21:46:59.160,14.8,22.3
2025-03-15 21:46:59.260,7.1,22.3
2025-03-15 21:46:59.361,9.0,22.3
2025-03-15 21:46:59.461,11.4,22.3
2025-03-15 21:46:59.562,28.2,22.3
2025-03-15 21:46:59.663,28.0,22.3
2025-03-15 21:46:59.763,16.1,22.3
2025-03-15 21:46:59.864,8.3,22.3
2025-03-15 21:46:59.965,8.5,22.3
2025-03-15 21:47:00.065,7.7,22.3
2025-03-15 21:47:00.166,22.8,22.3
2025-03-15 21:47:00.267,18.6,22.3
2025-03-15 21:47:00.367,12.1,22.3
2025-03-15 21:47:00.468,5.0,22.3
2025-03-15 21:47:00.569,6.4,22.3
2025-03-15 21:47:00.670,5.0,22.3
2025-03-15 21:47:00.770,14.4,22.3
2025-03-15 21:47:00.871,21.4,22.3
2025-03-15 21:47:00.972,25.8,22.3
2025-03-15 21:47:01.073,7.0,22.3
2025-03-15 21:47:01.173,7.1,22.3
2025-03-15 21:47:01.274,8.4,22.3
2025-03-15 21:47:01.375,12.7,22.3
2025-03-15 21:47:01.476,14.3,22.3
2025-03-15 21:47:01.576,26.0,22.3
2025-03-15 21:47:01.677,21.6,22.3
2025-03-15 21:47:01.778,10.1,22.3
2025-03-15 21:47:01.878,9.0,22.3
2025-03-15 21:47:01.979,18.1,22.3
2025-03-15 21:47:02.080,21.9,22.3
2025-03-15 21:47:02.180,27.8,22.3
2025-03-15 21:47:02.281,17.4,22.3
2025-03-15 21:47:02.382,11.6,22.3
2025-03-15 21:47:02.482,6.9,22.3
2025-03-15 21:47:02.583,13.9,22.3
2025-03-15 21:47:02.684,12.6,22.3
2025-03-15 21:47:02.785,25.3,22.3
2025-03-15 21:47:02.885,12.2,22.3
2025-03-15 21:47:02.986,6.6,22.3
2025-03-15 21:47:03.086,8.2,22.3
2025-03-15 21:47:03.187,15.6,22.3
2025-03-15 21:47:03.288,28.4,22.3
2025-03-15 21:47:03.388,22.9,22.3
2025-03-15 21:47:03.489,11.0,22.3
2025-03-15 21:47:03.590,10.5,22.3
2025-03-15 21:47:03.691,15.5,22.3
2025-03-15 21:47:03.791,22.8,22.3
2025-03-15 21:47:03.892,27.9,22.3
2025-03-15 21:47:03.993,31.8,22.3
2025-03-15 21:47:04.093,18.7,22.3
2025-03-15 21:47:04.194,6.3,22.3
2025-03-15 21:47:04.295,7.1,22.3
2025-03-15 21:47:04.396,9.0,22.3
2025-03-15 21:47:04.496,6.3,22.3
2025-03-15 21:47:04.597,18.8,22.3
2025-03-15 21:47:04.698,25.4,22.3
2025-03-15 21:47:04.798,15.9,22.3
2025-03-15 21:47:04.899,7.8,22.3
2025-03-15 21:47:05.000,6.4,22.3
2025-03-15 21:47:05.100,7.7,22.3
2025-03-15 21:47:05.201,17.0,22.3
2025-03-15 21:47:05.301,28.3,22.3
2025-03-15 21:47:05.402,20.1,22.3
2025-03-15 21:47:05.503,6.4,22.3
2025-03-15 21:47:05.604,5.8,22.3
2025-03-15 21:47:05.704,10.3,22.3
2025-03-15 21:47:05.805,17.6,22.3
2025-03-15 21:47:05.906,23.3,22.3
2025-03-15 21:47:06.006,14.4,22.3
2025-03-15 21:47:06.107,8.5,22.3
2025-03-15 21:47:06.207,7.0,22.3
2025-03-15 21:47:06.308,7.1,22.3
2025-03-15 21:47:06.409,19.0,22.3
2025-03-15 21:47:06.509,23.4,22.3
2025-03-15 21:47:06.610,15.5,22.3
2025-03-15 21:47:06.710,12.0,22.3
2025-03-15 21:47:06.811,6.4,22.3
2025-03-15 21:47:06.912,10.1,22.3
2025-03-15 21:47:07.012,15.7,22.3
2025-03-15 21:47:07.113,21.8,22.3
2025-03-15 21:47:07.213,25.1,22.3
2025-03-15 21:47:07.314,7.0,22.3
2025-03-15 21:47:07.415,7.9,22.3
2025-03-15 21:47:07.515,7.7,22.3
2025-03-15 21:47:07.616,16.1,22.3
2025-03-15 21:47:07.717,16.2,22.3
2025-03-15 21:47:07.817,29.9,22.3
2025-03-15 21:47:07.918,12.6,22.3
2025-03-15 21:47:08.019,11.6,22.3
2025-03-15 21:47:08.119,6.3,22.3
2025-03-15 21:47:08.220,7.6,22.3
2025-03-15 21:47:08.320,22.6,22.3
2025-03-15 21:47:08.421,17.2,22.3
2025-03-15 21:47:08.522,9.6,22.3
2025-03-15 21:47:08.623,6.5,22.3
2025-03-15 21:47:08.724,9.7,22.3
2025-03-15 21:47:08.824,16.8,22.3
2025-03-15 21:47:08.925,17.9,22.3
2025-03-15 21:47:09.026,29.7,22.3
2025-03-15 21:47:09.126,30.2,22.3
2025-03-15 21:47:09.227,13.9,22.3
2025-03-15 21:47:09.328,12.8,22.3
2025-03-15 21:47:09.428,14.8,22.3
2025-03-15 21:47:09.529,26.5,22.3
2025-03-15 21:47:09.630,29.8,22.3
2025-03-15 21:47:09.730,25.0,22.3
2025-03-15 21:47:09.831,15.4,22.3
2025-03-15 21:47:09.932,15.9,22.3
2025-03-15 21:47:10.032,6.3,22.3
2025-03-15 21:47:10.133,5.7,22.3
2025-03-15 21:47:10.233,11.5,22.3
2025-03-15 21:47:10.334,20.6,22.3
2025-03-15 21:47:10.435,13.3,22.3
2025-03-15 21:47:10.535,5.8,22.3
2025-03-15 21:47:10.636,7.2,22.3
2025-03-15 21:47:10.736,5.7,22.3
2025-03-15 21:47:10.837,16.8,22.3
2025-03-15 21:47:10.938,26.7,22.3
2025-03-15 21:47:11.038,11.4,22.3
2025-03-15 21:47:11.139,6.4,22.3
2025-03-15 21:47:11.240,8.5,22.3
2025-03-15 21:47:11.341,10.9,22.3
2025-03-15 21:47:11.441,11.5,22.3
2025-03-15 21:47:11.542,25.3,22.3
2025-03-15 21:47:11.643,13.7,22.3
2025-03-15 21:47:11.743,12.7,22.3
2025-03-15 21:47:11.844,10.9,22.3
2025-03-15 21:47:11.945,7.0,22.3
2025-03-15 21:47:12.045,19.4,22.3
2025-03-15 21:47:12.146,28.6,22.3
2025-03-15 21:47:12.246,16.8,22.3
2025-03-15 21:47:12.347,5.7,22.3
2025-03-15 21:47:12.448,9.1,22.3
2025-03-15 21:47:12.549,19.3,22.3
2025-03-15 21:47:12.649,24.4,22.3
2025-03-15 21:47:12.749,20.5,22.3
2025-03-15 21:47:12.850,7.8,22.3
2025-03-15 21:47:12.951,6.4,22.3
2025-03-15 21:47:13.051,7.8,22.3
2025-03-15 21:47:13.152,14.4,22.3
2025-03-15 21:47:13.252,28.3,22.3
2025-03-15 21:47:13.353,23.3,22.3
2025-03-15 21:47:13.453,9.5,22.3
2025-03-15 21:47:13.554,10.3,22.3
2025-03-15 21:47:13.655,6.4,22.3
2025-03-15 21:47:13.755,11.3,22.3
2025-03-15 21:47:13.856,7.0,22.3
2025-03-15 21:47:13.957,12.7,22.3
2025-03-15 21:47:14.057,24.3,22.3
2025-03-15 21:47:14.157,15.6,22.3
2025-03-15 21:47:14.258,9.6,22.3
2025-03-15 21:47:14.359,7.7,22.3
2025-03-15 21:47:14.460,7.6,22.3
2025-03-15 21:47:14.560,16.1,22.4
2025-03-15 21:47:14.661,32.3,22.3
2025-03-15 21:47:14.762,24.6,22.3
2025-03-15 21:47:14.862,11.5,22.3
2025-03-15 21:47:14.962,7.7,22.3
2025-03-15 21:47:15.063,8.3,22.3
2025-03-15 21:47:15.164,7.0,22.4
2025-03-15 21:47:15.265,17.6,22.3
2025-03-15 21:47:15.365,27.5,22.3
2025-03-15 21:47:15.466,15.4,22.3
2025-03-15 21:47:15.566,6.5,22.3
2025-03-15 21:47:15.667,5.8,22.3
2025-03-15 21:47:15.768,11.4,22.3
2025-03-15 21:47:15.869,13.2,22.3
2025-03-15 21:47:15.969,27.6,22.3
2025-03-15 21:47:16.070,13.3,22.3
2025-03-15 21:47:16.170,12.3,22.3
2025-03-15 21:47:16.271,3.6,22.4
2025-03-15 21:47:16.371,7.1,22.4
2025-03-15 21:47:16.472,14.5,22.3
2025-03-15 21:47:16.573,27.6,22.3
2025-03-15 21:47:16.674,20.8,22.4
2025-03-15 21:47:16.775,9.9,22.3
2025-03-15 21:47:16.875,10.7,22.4
2025-03-15 21:47:16.976,9.6,22.4
