Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-07 21:21:25.204,83.3,30.6
2025-03-07 21:21:25.305,17.7,30.6
2025-03-07 21:21:25.405,26.4,30.6
2025-03-07 21:21:25.505,23.3,30.6
2025-03-07 21:21:25.605,16.0,30.6
2025-03-07 21:21:25.705,14.8,30.6
2025-03-07 21:21:25.805,23.1,30.6
2025-03-07 21:21:25.905,16.6,30.6
2025-03-07 21:21:26.005,14.6,30.6
2025-03-07 21:21:26.105,30.4,30.6
2025-03-07 21:21:26.206,23.5,30.6
2025-03-07 21:21:26.306,9.9,30.6
2025-03-07 21:21:26.406,9.2,30.6
2025-03-07 21:21:26.506,16.4,30.6
2025-03-07 21:21:26.606,29.1,30.6
2025-03-07 21:21:26.706,17.3,30.6
2025-03-07 21:21:26.806,12.1,30.6
2025-03-07 21:21:26.906,13.5,30.7
2025-03-07 21:21:27.007,10.1,30.8
2025-03-07 21:21:27.107,28.4,30.8
2025-03-07 21:21:27.207,13.9,30.8
2025-03-07 21:21:27.307,14.9,30.8
2025-03-07 21:21:27.407,26.8,30.8
2025-03-07 21:21:27.507,25.0,30.8
2025-03-07 21:21:27.607,10.1,30.8
2025-03-07 21:21:27.707,16.9,30.8
2025-03-07 21:21:27.808,19.6,30.8
2025-03-07 21:21:27.908,30.1,30.8
2025-03-07 21:21:28.008,25.7,30.8
2025-03-07 21:21:28.108,30.9,30.8
2025-03-07 21:21:28.208,30.1,30.8
2025-03-07 21:21:28.308,29.8,30.8
2025-03-07 21:21:28.409,23.2,30.8
2025-03-07 21:21:28.509,16.2,30.8
2025-03-07 21:21:28.609,28.5,30.8
2025-03-07 21:21:28.709,31.0,30.8
2025-03-07 21:21:28.809,30.4,30.8
2025-03-07 21:21:28.909,20.1,30.8
2025-03-07 21:21:29.009,13.7,30.8
2025-03-07 21:21:29.110,15.6,30.8
2025-03-07 21:21:29.210,18.4,30.8
2025-03-07 21:21:29.310,23.0,30.8
2025-03-07 21:21:29.410,29.8,30.8
2025-03-07 21:21:29.510,20.9,30.8
2025-03-07 21:21:29.610,6.1,30.8
2025-03-07 21:21:29.710,10.8,30.8
2025-03-07 21:21:29.810,14.3,30.8
2025-03-07 21:21:29.910,23.0,30.8
2025-03-07 21:21:30.011,27.2,30.8
2025-03-07 21:21:30.111,19.2,30.8
2025-03-07 21:21:30.211,13.6,30.8
2025-03-07 21:21:30.311,11.1,30.8
2025-03-07 21:21:30.411,10.8,30.8
2025-03-07 21:21:30.511,13.5,30.8
2025-03-07 21:21:30.611,26.9,30.8
2025-03-07 21:21:30.711,17.1,30.8
2025-03-07 21:21:30.812,15.1,30.8
2025-03-07 21:21:30.912,14.9,30.8
2025-03-07 21:21:31.012,13.7,30.8
2025-03-07 21:21:31.112,10.6,30.8
2025-03-07 21:21:31.212,24.6,30.8
2025-03-07 21:21:31.312,13.2,30.8
2025-03-07 21:21:31.412,13.2,30.8
2025-03-07 21:21:31.513,12.0,30.8
2025-03-07 21:21:31.613,9.9,30.8
2025-03-07 21:21:31.713,12.5,30.8
2025-03-07 21:21:31.813,17.8,30.8
2025-03-07 21:21:31.913,31.9,30.8
2025-03-07 21:21:32.013,23.6,30.8
2025-03-07 21:21:32.113,11.5,30.8
2025-03-07 21:21:32.213,12.0,30.8
2025-03-07 21:21:32.314,20.4,30.8
2025-03-07 21:21:32.414,30.9,30.8
2025-03-07 21:21:32.514,30.1,30.8
2025-03-07 21:21:32.614,25.9,30.8
2025-03-07 21:21:32.714,11.9,30.8
2025-03-07 21:21:32.814,12.5,30.8
2025-03-07 21:21:32.914,17.3,30.8
2025-03-07 21:21:33.014,26.5,30.8
2025-03-07 21:21:33.115,26.7,30.8
2025-03-07 21:21:33.215,11.8,30.8
2025-03-07 21:21:33.315,12.6,30.8
2025-03-07 21:21:33.415,13.8,30.8
2025-03-07 21:21:33.515,12.5,30.8
2025-03-07 21:21:33.615,15.4,30.8
2025-03-07 21:21:33.715,28.3,30.8
2025-03-07 21:21:33.815,29.5,30.8
2025-03-07 21:21:33.916,21.0,30.8
2025-03-07 21:21:34.016,11.3,30.8
2025-03-07 21:21:34.116,10.6,30.8
2025-03-07 21:21:34.216,16.1,30.8
2025-03-07 21:21:34.316,20.8,30.8
2025-03-07 21:21:34.416,33.0,30.8
2025-03-07 21:21:34.516,16.7,30.8
2025-03-07 21:21:34.616,10.1,30.8
2025-03-07 21:21:34.716,9.9,30.8
2025-03-07 21:21:34.817,9.4,30.8
2025-03-07 21:21:34.917,17.9,30.8
2025-03-07 21:21:35.017,30.9,30.8
2025-03-07 21:21:35.117,24.7,30.8
2025-03-07 21:21:35.217,11.3,30.8
2025-03-07 21:21:35.317,11.8,30.6
2025-03-07 21:21:35.417,17.7,30.5
2025-03-07 21:21:35.518,17.2,30.5
2025-03-07 21:21:35.618,30.0,30.5
2025-03-07 21:21:35.718,27.0,30.5
2025-03-07 21:21:35.818,23.4,30.6
2025-03-07 21:21:35.918,13.0,30.6
2025-03-07 21:21:36.018,16.4,30.6
2025-03-07 21:21:36.118,12.9,30.6
2025-03-07 21:21:36.218,20.3,30.6
2025-03-07 21:21:36.318,26.5,30.6
2025-03-07 21:21:36.419,28.8,30.6
2025-03-07 21:21:36.519,17.9,30.6
2025-03-07 21:21:36.619,15.0,30.6
2025-03-07 21:21:36.719,13.5,30.6
2025-03-07 21:21:36.819,21.2,30.6
2025-03-07 21:21:36.919,35.6,30.6
2025-03-07 21:21:37.019,31.3,30.6
2025-03-07 21:21:37.119,26.7,30.5
2025-03-07 21:21:37.220,15.0,30.6
2025-03-07 21:21:37.320,12.5,30.5
2025-03-07 21:21:37.420,17.9,30.6
2025-03-07 21:21:37.520,24.0,30.6
2025-03-07 21:21:37.620,31.9,30.6
2025-03-07 21:21:37.720,22.4,30.6
2025-03-07 21:21:37.820,14.2,30.6
2025-03-07 21:21:37.921,11.8,30.6
2025-03-07 21:21:38.021,10.1,30.6
2025-03-07 21:21:38.121,16.3,30.6
2025-03-07 21:21:38.221,27.9,30.6
2025-03-07 21:21:38.321,29.1,30.6
2025-03-07 21:21:38.421,17.8,30.6
2025-03-07 21:21:38.521,13.1,30.6
2025-03-07 21:21:38.621,15.5,30.6
2025-03-07 21:21:38.722,12.4,30.6
2025-03-07 21:21:38.822,21.3,30.6
2025-03-07 21:21:38.922,30.2,30.6
2025-03-07 21:21:39.022,14.4,30.6
2025-03-07 21:21:39.122,10.1,30.6
2025-03-07 21:21:39.222,15.4,30.6
2025-03-07 21:21:39.322,16.6,30.6
2025-03-07 21:21:39.422,34.6,30.5
2025-03-07 21:21:39.523,19.1,30.5
2025-03-07 21:21:39.623,25.7,30.5
2025-03-07 21:21:39.723,25.0,30.5
2025-03-07 21:21:39.823,17.8,30.5
2025-03-07 21:21:39.923,14.1,30.5
2025-03-07 21:21:40.023,11.4,30.5
2025-03-07 21:21:40.123,26.2,30.5
2025-03-07 21:21:40.224,27.5,30.5
2025-03-07 21:21:40.324,10.1,30.5
2025-03-07 21:21:40.424,11.9,30.5
2025-03-07 21:21:40.524,11.6,30.5
2025-03-07 21:21:40.624,21.0,30.5
2025-03-07 21:21:40.724,28.1,30.5
2025-03-07 21:21:40.824,19.7,30.5
2025-03-07 21:21:40.924,16.0,30.5
2025-03-07 21:21:41.025,12.6,30.5
2025-03-07 21:21:41.125,8.7,30.6
2025-03-07 21:21:41.225,17.6,30.6
2025-03-07 21:21:41.325,27.9,30.5
2025-03-07 21:21:41.425,33.5,30.5
2025-03-07 21:21:41.525,14.9,30.5
2025-03-07 21:21:41.625,13.2,30.5
2025-03-07 21:21:41.725,12.1,30.5
2025-03-07 21:21:41.826,11.2,30.5
2025-03-07 21:21:41.926,21.0,30.6
2025-03-07 21:21:42.026,24.2,30.6
2025-03-07 21:21:42.126,17.3,30.6
2025-03-07 21:21:42.226,11.3,30.6
2025-03-07 21:21:42.326,7.3,30.5
2025-03-07 21:21:42.426,13.8,30.5
2025-03-07 21:21:42.526,13.0,30.5
2025-03-07 21:21:42.627,24.4,30.5
2025-03-07 21:21:42.727,28.5,30.5
2025-03-07 21:21:42.827,23.1,30.5
2025-03-07 21:21:42.927,29.2,30.5
2025-03-07 21:21:43.027,20.0,30.5
2025-03-07 21:21:43.127,19.0,30.5
2025-03-07 21:21:43.227,16.6,30.5
2025-03-07 21:21:43.327,31.3,30.5
2025-03-07 21:21:43.428,17.8,30.5
2025-03-07 21:21:43.528,11.9,30.5
2025-03-07 21:21:43.628,14.8,30.5
