Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 18:44:12.140,12.8,24.2
2025-03-15 18:44:12.240,17.3,24.3
2025-03-15 18:44:12.341,23.9,24.3
2025-03-15 18:44:12.442,28.9,24.3
2025-03-15 18:44:12.542,15.3,24.3
2025-03-15 18:44:12.643,17.9,24.3
2025-03-15 18:44:12.744,36.3,24.3
2025-03-15 18:44:12.844,30.5,24.3
2025-03-15 18:44:12.945,20.0,24.3
2025-03-15 18:44:13.046,7.8,24.3
2025-03-15 18:44:13.146,8.4,24.3
2025-03-15 18:44:13.247,13.6,24.3
2025-03-15 18:44:13.347,24.6,24.3
2025-03-15 18:44:13.448,26.9,24.3
2025-03-15 18:44:13.549,16.4,24.3
2025-03-15 18:44:13.650,12.9,24.3
2025-03-15 18:44:13.750,13.3,24.3
2025-03-15 18:44:13.851,15.9,24.3
2025-03-15 18:44:13.951,20.3,24.3
2025-03-15 18:44:14.052,21.2,24.3
2025-03-15 18:44:14.152,27.4,24.3
2025-03-15 18:44:14.253,19.9,24.4
2025-03-15 18:44:14.354,21.4,24.4
2025-03-15 18:44:14.454,24.7,24.4
2025-03-15 18:44:14.555,15.1,24.4
2025-03-15 18:44:14.656,19.6,24.4
2025-03-15 18:44:14.756,23.7,24.4
2025-03-15 18:44:14.857,12.8,24.4
2025-03-15 18:44:14.957,6.5,24.4
2025-03-15 18:44:15.058,9.4,24.4
2025-03-15 18:44:15.159,9.6,24.4
2025-03-15 18:44:15.260,18.7,24.4
2025-03-15 18:44:15.360,18.9,24.4
2025-03-15 18:44:15.461,21.0,24.4
2025-03-15 18:44:15.562,7.0,24.4
2025-03-15 18:44:15.662,5.7,24.4
2025-03-15 18:44:15.763,9.6,24.3
2025-03-15 18:44:15.864,20.5,24.3
2025-03-15 18:44:15.964,24.0,24.3
2025-03-15 18:44:16.065,24.3,24.3
2025-03-15 18:44:16.165,27.8,24.3
2025-03-15 18:44:16.266,8.5,24.3
2025-03-15 18:44:16.367,9.2,24.3
2025-03-15 18:44:16.468,16.1,24.3
2025-03-15 18:44:16.568,26.8,24.3
2025-03-15 18:44:16.669,28.3,24.3
2025-03-15 18:44:16.769,24.4,24.3
2025-03-15 18:44:16.870,7.8,24.3
2025-03-15 18:44:16.971,10.3,24.3
2025-03-15 18:44:17.072,7.7,24.3
2025-03-15 18:44:17.172,13.2,24.3
2025-03-15 18:44:17.273,20.2,24.3
2025-03-15 18:44:17.373,16.7,24.3
2025-03-15 18:44:17.474,7.0,24.3
2025-03-15 18:44:17.574,5.0,24.3
2025-03-15 18:44:17.675,11.6,24.3
2025-03-15 18:44:17.776,7.6,24.3
2025-03-15 18:44:17.877,22.0,24.3
2025-03-15 18:44:17.977,22.9,24.3
2025-03-15 18:44:18.078,6.3,24.3
2025-03-15 18:44:18.178,5.0,24.3
2025-03-15 18:44:18.279,5.7,24.3
2025-03-15 18:44:18.380,9.5,24.3
2025-03-15 18:44:18.481,26.9,24.3
2025-03-15 18:44:18.581,25.3,24.3
2025-03-15 18:44:18.682,15.4,24.3
2025-03-15 18:44:18.783,6.4,24.3
2025-03-15 18:44:18.883,6.9,24.3
2025-03-15 18:44:18.984,7.6,24.3
2025-03-15 18:44:19.085,18.0,24.3
2025-03-15 18:44:19.185,25.8,24.3
2025-03-15 18:44:19.286,17.6,24.3
2025-03-15 18:44:19.387,14.1,24.3
2025-03-15 18:44:19.488,12.5,24.3
2025-03-15 18:44:19.588,11.5,24.3
2025-03-15 18:44:19.689,20.5,24.3
2025-03-15 18:44:19.790,25.3,24.3
2025-03-15 18:44:19.890,26.9,24.3
2025-03-15 18:44:19.991,23.1,24.4
2025-03-15 18:44:20.092,22.4,24.4
2025-03-15 18:44:20.193,14.0,24.4
2025-03-15 18:44:20.293,12.0,24.4
2025-03-15 18:44:20.394,19.7,24.4
2025-03-15 18:44:20.495,30.5,24.4
2025-03-15 18:44:20.596,23.9,24.4
2025-03-15 18:44:20.697,40.2,24.5
2025-03-15 18:44:20.797,30.9,24.6
2025-03-15 18:44:20.898,23.3,24.6
